order_id,customer_id,order_date,status,shipping_country,shipping_city,shipping_address,shipped_date,delivered_date
1,10,2026-01-16T02:02:35,delivered,Francia,Mohamedchester,0 Kerry Cove,2026-01-19,2026-01-20
2,445,2025-11-03T18:11:57,delivered,España,Casbeno,chemin Hernandez,2025-11-06,2025-11-08
3,541,2024-08-19T03:28:19,pending,Italia,Santa Cruz de Tenerife,16 Clarke Streets,,
4,236,2024-07-30T01:32:57,delivered,España,Bischofswerda,Plaza Manuelita Cordero 7 Apt. 94,2024-07-31,2024-08-07
5,487,2024-02-29T20:38:09,shipped,Alemania,Oschatz,Pasaje de Hermenegildo Cabo 89 Piso 4,2024-03-02,
6,288,2024-08-02T02:42:24,cancelled,Portugal,Saint Anouk-la-Forêt,"783, avenue Petitjean",,
7,578,2026-05-29T19:46:16,delivered,Alemania,Ledoux,"Borgo Armellini, 623",2026-06-01,2026-06-01
8,17,2025-06-06T11:27:00,delivered,España,Dinkelsbühl,Glorieta Rosaura Trillo 331,2025-06-07,2025-06-13
9,79,2025-03-05T14:30:05,delivered,Alemania,Reynaud-sur-Barbe,"Viale Giosuè, 34",2025-03-07,2025-03-09
10,581,2024-05-19T08:45:19,delivered,Italia,Altentreptow,Ritterstraße 83/85,2024-05-21,2024-05-27
11,340,2025-04-29T19:40:52,delivered,Países Bajos,Creazzo,C. Edu Alcalde 28 Apt. 37,2025-05-01,2025-05-07
12,513,2025-12-05T02:51:19,delivered,Portugal,Las Palmas,"972, avenue Alain Collet",2025-12-08,2025-12-10
13,448,2026-04-02T03:33:23,delivered,Alemania,Girona,Roseweg 924,2026-04-03,2026-04-05
14,407,2024-11-11T22:02:00,delivered,España,Maureenview,"35, boulevard Auger",2024-11-13,2024-11-14
15,462,2024-10-21T09:57:05,returned,Portugal,Sainte Arnaude,10 Harrison Flats,2024-10-23,2024-10-25
16,385,2025-03-12T20:08:07,returned,España,Guipúzcoa,Rambla de Bonifacio Ordóñez 135,2025-03-14,2025-03-16
17,390,2025-12-22T21:19:51,delivered,Alemania,Glenchester,"Vicolo Pincherle, 8 Appartamento 1",2025-12-23,2025-12-29
18,76,2024-06-10T08:58:22,shipped,Portugal,Grimma,"Stretto Bianca, 85",2024-06-11,
19,390,2025-07-09T05:36:54,delivered,Alemania,Port Daleborough,Rambla Aitana Abad 11,2025-07-12,2025-07-17
20,325,2026-01-05T14:11:08,delivered,Italia,Fieldfort,Ilija-Römer-Straße 7-8,2026-01-07,2026-01-08
21,316,2024-08-03T00:11:20,delivered,Alemania,Parsberg,Valeri-Geisel-Allee 3/7,2024-08-05,2024-08-08
22,105,2024-09-25T09:49:18,delivered,España,Castelmola,"91, chemin Joseph Laurent",2024-09-26,2024-09-28
23,460,2024-02-06T15:41:29,delivered,Italia,Stuttgart,Elke-Römer-Platz 6-3,2024-02-09,2024-02-13
24,106,2024-03-17T14:51:23,delivered,Francia,León,Cristina-Jessel-Ring 55,2024-03-18,2024-03-20
25,96,2025-12-12T20:10:42,delivered,España,Calvi Risorta,"Canale Guglielmo, 56 Appartamento 9",2025-12-15,2025-12-19
26,395,2025-11-26T11:48:43,cancelled,Francia,Lefort-sur-De Sousa,"28, chemin Leroy",,
27,424,2024-10-01T10:37:33,shipped,España,Danigarci,6 William Mills,2024-10-03,
28,573,2026-06-25T03:05:01,delivered,España,Badajoz,"Canale Diana, 395 Appartamento 16",2026-06-26,2026-07-02
29,390,2025-05-17T06:10:27,pending,Alemania,Valladolid,"Strada Dossetti, 430",,
30,276,2025-03-06T05:03:18,delivered,Francia,Cuenca,"Rotonda Rosario, 29 Appartamento 2",2025-03-08,2025-03-11
31,65,2025-09-16T05:18:47,shipped,España,Marietown,5 Francis Stream,2025-09-17,
32,432,2025-02-14T10:02:50,delivered,Francia,Gailborough,Flat 6 Williamson Dam,2025-02-16,2025-02-20
33,370,2026-01-26T02:48:02,pending,Francia,Ceriana,"44, chemin Poirier",,
34,508,2024-11-09T08:58:41,cancelled,Alemania,Morin,"955, rue Auguste Mary",,
35,201,2025-06-20T22:27:08,delivered,España,Tanguy,"Rotonda Lussu, 25",2025-06-22,2025-06-23
36,7,2025-01-05T11:05:32,delivered,Italia,Mühlhausen,Anna-Sorgatz-Allee 872,2025-01-07,2025-01-10
37,390,2025-07-27T22:34:49,shipped,Alemania,Bussana,Mariusz-Tintzmann-Gasse 70/82,2025-07-29,
38,441,2025-06-15T12:11:14,pending,España,Stade,Cañada de Fermín Solera 820,,
39,140,2024-10-27T23:42:12,delivered,Alemania,Briga,"Viale Gonzaga, 855 Appartamento 3",2024-10-29,2024-11-01
40,491,2024-12-20T07:18:46,pending,España,Becker-la-Forêt,"Via Ubaldo, 4 Appartamento 5",,
41,408,2025-05-11T06:28:03,delivered,Portugal,Zamora,Studio 6 Kelly Alley,2025-05-13,2025-05-16
42,503,2024-05-24T23:02:35,delivered,Italia,East Josh,Hubertus-Haase-Straße 33,2024-05-27,2024-05-28
43,288,2026-06-11T13:41:30,delivered,Portugal,Caderzone,Acceso Cornelio Sotelo 863 Puerta 6,2026-06-13,2026-06-16
44,205,2024-05-04T20:31:45,confirmed,Portugal,Ledoux,Alameda María Carmen Cañellas 55 Puerta 6,,
45,185,2024-10-19T19:51:56,delivered,España,Le Castella,"Viale Babati, 9",2024-10-22,2024-10-26
46,215,2024-10-01T16:48:25,delivered,Francia,Hünfeld,"Strada Giammusso, 7",2024-10-03,2024-10-06
47,419,2025-06-27T02:31:04,delivered,Portugal,Tracyland,Simon-Flantz-Ring 7/8,2025-06-30,2025-07-03
48,311,2025-05-05T23:03:32,confirmed,España,La Rioja,81 Forster Key,,
49,158,2024-10-08T09:11:59,delivered,Italia,Zaragoza,Vial de Consuelo Vendrell 17,2024-10-11,2024-10-14
50,76,2026-03-26T13:43:32,delivered,Portugal,BriandVille,Weihmannweg 89,2026-03-28,2026-04-02
51,411,2024-02-16T21:11:55,delivered,Italia,Ferro Di Cavallo,"68, rue Lamy",2024-02-19,2024-02-23
52,557,2025-08-30T15:13:47,delivered,España,Alessano,Alameda Laura Jordá 88,2025-08-31,2025-09-04
53,88,2026-05-23T19:32:53,delivered,Alemania,Sainte Roland,Pasaje de Quique Ayllón 754,2026-05-24,2026-05-27
54,171,2025-04-22T12:55:31,delivered,Francia,Aue,"Contrada Michele, 610 Appartamento 5",2025-04-25,2025-04-29
55,410,2026-05-02T20:30:22,delivered,España,Viciomaggio,8 Malcolm Stream,2026-05-04,2026-05-08
56,101,2024-04-04T00:23:02,delivered,Alemania,Williamsview,Slavica-Wagner-Weg 60-61,2024-04-06,2024-04-08
57,572,2025-05-17T18:53:19,delivered,Alemania,Pontevedra,Alameda Áurea Matas 16 Apt. 41,2025-05-20,2025-05-25
58,457,2024-10-19T08:02:51,delivered,Alemania,Saint Henriette-la-Forêt,Petros-Ruppersberger-Straße 5642,2024-10-21,2024-10-25
59,513,2024-03-15T21:25:47,shipped,Portugal,Sambughe,"Canale Ippazio, 40 Piano 2",2024-03-16,
60,495,2025-10-12T00:53:39,delivered,España,Moers,"Borgo Gianluca, 5 Piano 9",2025-10-13,2025-10-17
61,119,2024-09-14T03:07:33,delivered,España,De Oliveira-sur-Bousquet,"Viale Zabarella, 685 Appartamento 47",2024-09-17,2024-09-18
62,352,2024-01-12T11:21:20,delivered,España,Cosina,"20, avenue de Guilbert",2024-01-14,2024-01-16
63,357,2024-07-17T17:34:58,delivered,Francia,Freising,"Contrada Mengolo, 7 Appartamento 79",2024-07-19,2024-07-20
64,327,2026-02-15T16:28:23,returned,Alemania,Sainte Frédérique,"38, boulevard Claude Denis",2026-02-16,2026-02-20
65,24,2026-03-02T04:11:24,delivered,España,Castellón,422 Walton Knoll,2026-03-04,2026-03-10
66,250,2025-06-04T05:59:02,delivered,Países Bajos,Hutchinsonview,Giovanna-Striebitz-Allee 98/78,2025-06-07,2025-06-08
67,339,2026-06-18T05:49:49,pending,España,Hughesmouth,Stefanie-Gierschner-Straße 1/9,,
68,474,2026-03-18T15:31:25,delivered,España,Starnberg,96 Craig Roads,2026-03-19,2026-03-24
69,191,2026-01-21T06:42:56,delivered,España,Barcelona,"Piazza Modiano, 212",2026-01-24,2026-01-29
70,30,2026-06-14T14:24:09,confirmed,España,Greco,"Viale Nanni, 432",,
71,203,2025-11-24T22:21:32,delivered,España,Aurich,Studio 3 Scott Underpass,2025-11-26,2025-12-01
72,5,2024-11-14T14:09:25,delivered,Alemania,Knightville,"Borgo Romolo, 90 Piano 6",2024-11-17,2024-11-18
73,65,2025-10-07T10:08:03,delivered,España,Córdoba,"Viale Santino, 174",2025-10-10,2025-10-10
74,192,2025-10-26T19:32:51,delivered,Alemania,Vivo D'Orcia,rue Charles,2025-10-28,2025-10-31
75,117,2026-06-07T16:39:32,delivered,Alemania,Costa Masnaga,Studio 5 Norman Underpass,2026-06-09,2026-06-15
76,541,2024-10-28T17:49:17,delivered,Italia,Aubry,Pasaje Trini Tur 64 Piso 7,2024-10-31,2024-11-02
77,402,2024-10-20T14:08:59,delivered,Alemania,Viechtach,Klara-Etzold-Platz 1/4,2024-10-23,2024-10-23
78,469,2026-02-12T12:48:55,cancelled,España,Warendorf,Caterina-Schulz-Ring 37-34,,
79,305,2025-08-20T06:16:53,returned,Francia,Jacquelineview,9 Bray Bridge,2025-08-23,2025-08-27
80,321,2025-08-03T04:52:36,delivered,España,Werdau,"Vicolo Donati, 972 Piano 2",2025-08-04,2025-08-07
81,188,2026-04-10T04:15:28,shipped,España,Groppello D'Adda,Studio 0 Glenn Fork,2026-04-12,
82,524,2024-05-23T05:08:48,delivered,España,Gardelegen,Studio 13 Morley Port,2024-05-25,2024-05-29
83,589,2026-02-20T05:01:10,delivered,Italia,Valencia,Studio 06O Hugh Parkways,2026-02-22,2026-02-26
84,551,2024-09-06T17:43:08,returned,España,Navarra,"Viale Antonella, 33",2024-09-09,2024-09-14
85,569,2026-04-30T06:18:26,returned,Portugal,Williamsonview,"Borgo Livia, 12 Appartamento 83",2026-05-01,2026-05-06
86,192,2025-09-10T05:06:28,delivered,Alemania,Guadalajara,Via de Vasco Blanco 23,2025-09-12,2025-09-16
87,368,2025-02-20T01:57:06,pending,Francia,Nesima Inferiore,"Vicolo Aloisio, 411 Piano 6",,
88,140,2024-04-01T17:38:38,delivered,Alemania,Cremeno,"95, boulevard Roland Imbert",2024-04-02,2024-04-07
89,507,2025-06-18T18:24:08,delivered,Portugal,Perleberg,Flat 88t Griffiths Throughway,2025-06-20,2025-06-26
90,455,2026-02-16T15:07:57,delivered,España,Baileyhaven,"22, chemin Étienne Pichon",2026-02-18,2026-02-20
91,32,2024-05-03T20:35:07,delivered,Italia,Eutin,Cañada Angélica Mayoral 88,2024-05-04,2024-05-08
92,231,2026-02-02T10:00:25,delivered,España,Salamanca,23 Thornton Walk,2026-02-05,2026-02-07
93,580,2025-09-06T16:39:02,delivered,Portugal,West Georgia,"464, avenue Victoire Bailly",2025-09-09,2025-09-12
94,116,2026-03-18T18:35:52,delivered,Italia,Havelberg,Mendering 7-7,2026-03-21,2026-03-21
95,376,2025-04-09T19:46:26,cancelled,España,Almería,"57, rue Guillaume",,
96,452,2025-12-18T01:30:53,confirmed,España,Kleve,C. de Máximo Flores 99 Piso 4,,
97,436,2025-11-18T07:57:24,returned,Francia,Ciudad,Studio 79E Katy Loaf,2025-11-19,2025-11-26
98,254,2024-11-27T23:47:58,cancelled,Portugal,Guyot,"Strada Arsenio, 824 Piano 2",,
99,461,2026-02-10T01:10:24,delivered,Portugal,Vizcaya,"59, rue de Guilbert",2026-02-12,2026-02-15
100,450,2024-07-28T03:10:01,delivered,España,Ciudad,Stumpfgasse 615,2024-07-29,2024-08-01
101,360,2025-11-07T21:24:20,returned,España,Gonzalez,Veli-Klotz-Ring 1449,2025-11-10,2025-11-14
102,170,2024-11-21T15:35:20,shipped,Francia,Lake Victoriachester,"9, boulevard Besson",2024-11-24,
103,212,2025-09-05T07:31:22,delivered,España,Alicante,"Contrada Montesano, 1 Appartamento 8",2025-09-06,2025-09-12
104,288,2026-03-12T19:22:47,delivered,Portugal,Quiesa,"Canale Puccio, 327",2026-03-15,2026-03-19
105,300,2024-04-06T11:47:01,shipped,España,Sandrahaven,boulevard Théodore Robert,2024-04-08,
106,527,2024-08-19T09:44:01,returned,Portugal,Micigliano,Alameda Teófilo Contreras 63,2024-08-22,2024-08-22
107,61,2024-03-05T14:59:08,pending,Italia,Gizzeria,Studio 92m Russell Inlet,,
108,130,2026-01-09T23:52:49,delivered,Alemania,North Eleanorton,Flat 5 Murray Shoals,2026-01-12,2026-01-13
109,330,2024-10-08T05:19:28,delivered,Alemania,West Ben,"63, rue Besnard",2024-10-09,2024-10-16
110,146,2026-06-13T17:49:14,delivered,España,Albacete,"16, avenue Andrée Philippe",2026-06-16,2026-06-21
111,425,2025-10-09T22:51:28,pending,Francia,Wrightville,Rambla Maristela Gallego 8,,
112,78,2025-12-13T16:27:23,pending,Países Bajos,Galta,Hasso-Conradi-Weg 97/24,,
113,413,2026-06-21T03:23:22,delivered,Francia,Saint Alex,"6, chemin Virginie François",2026-06-24,2026-06-29
114,466,2024-07-09T13:26:14,delivered,España,Rolland,Plaza de Leonardo Morales 3 Apt. 29,2024-07-11,2024-07-14
115,96,2026-06-19T00:05:24,shipped,España,Melilla,700 Irene Hill,2026-06-22,
116,367,2025-07-15T23:06:49,shipped,Alemania,Ebermannstadt,"38, rue de Marchal",2025-07-16,
117,408,2026-03-26T19:27:28,delivered,Portugal,Albacete,"66, boulevard Tristan Leroy",2026-03-27,2026-04-01
118,507,2024-08-27T07:42:47,shipped,Portugal,Albacete,rue de Cordier,2024-08-29,
119,346,2025-10-11T10:19:31,shipped,España,Valladolid,"Strada Alberto, 23",2025-10-14,
120,580,2025-10-19T04:45:17,delivered,Portugal,Lleida,"12, avenue Charlotte Boucher",2025-10-21,2025-10-24
121,48,2026-03-29T01:45:45,delivered,Italia,Sylviaside,Nohlmansweg 3238,2026-03-30,2026-04-06
122,17,2025-11-26T16:43:58,returned,España,Lake Jake,Via de Josep Gonzalo 52 Piso 7,2025-11-27,2025-11-30
123,1,2025-05-15T16:37:16,cancelled,Francia,Moncucco Torinese,Studio 5 Rosemary Street,,
124,136,2025-04-14T07:21:58,delivered,Italia,Santa Cruz de Tenerife,Plaza Eric Aragón 72,2025-04-17,2025-04-19
125,96,2026-02-06T09:58:36,delivered,España,Riesa,"73, rue Cécile Loiseau",2026-02-09,2026-02-11
126,381,2025-01-09T03:00:03,delivered,España,Cloppenburg,Gotthardring 87/28,2025-01-12,2025-01-17
127,406,2026-04-06T01:53:07,cancelled,Países Bajos,Belzig,Walentina-Ring-Platz 83,,
128,240,2024-02-21T11:07:23,delivered,Países Bajos,Navarra,Jäntschstraße 9-2,2024-02-23,2024-02-29
129,2,2025-07-03T03:27:55,delivered,Alemania,Mompantero,"42, rue Peron",2025-07-04,2025-07-09
130,232,2026-04-03T04:49:53,delivered,Alemania,Regensburg,"Stretto Giammusso, 5",2026-04-06,2026-04-11
131,9,2025-03-15T00:20:17,delivered,España,Port Derek,"Contrada Armando, 984 Piano 5",2025-03-18,2025-03-20
132,433,2024-11-27T04:23:26,delivered,Francia,Davidland,Stefani-Wagner-Weg 70,2024-11-30,2024-12-01
133,235,2026-06-16T02:34:43,delivered,España,South Shaun,Flat 66 Frederick Village,2026-06-18,2026-06-19
134,106,2024-09-24T03:43:45,delivered,Francia,Garmisch-Partenkirchen,Ebertweg 337,2024-09-26,2024-09-29
135,141,2024-05-29T10:53:43,delivered,Portugal,Angermünde,Cuesta Jesús Ríos 91 Puerta 9,2024-05-31,2024-06-02
136,71,2025-10-21T05:12:04,delivered,Países Bajos,Guérin,Ralf-Dieter-Hermighausen-Gasse 36-89,2025-10-24,2025-10-28
137,169,2025-12-01T22:13:15,returned,Portugal,Parsberg,Urbanización de Ruth Urrutia 16,2025-12-03,2025-12-06
138,156,2025-04-24T07:45:25,cancelled,Francia,Toledo,Lindnerweg 6/2,,
139,454,2025-10-30T14:59:23,delivered,Italia,Teruel,"773, chemin de Duval",2025-10-31,2025-11-02
140,144,2024-06-29T03:39:28,delivered,Francia,Seguinnec,"Vicolo Corrado, 9 Appartamento 75",2024-06-30,2024-07-06
141,360,2026-01-24T13:58:55,delivered,España,Segovia,"780, avenue de Laroche",2026-01-26,2026-01-29
142,254,2025-11-26T05:05:27,delivered,Portugal,Ourense,514 Roberts Stream,2025-11-28,2025-12-04
143,567,2024-06-03T09:02:07,cancelled,España,Pelletier,Karl-Ernst-Matthäi-Gasse 37/44,,
144,292,2025-04-20T21:50:44,delivered,Francia,Torrecandele,"27, chemin Laetitia Tanguy",2025-04-23,2025-04-23
145,309,2025-08-28T23:58:18,delivered,España,Stewartville,Cuesta de Feliciana Estrada 53 Puerta 7,2025-08-29,2025-09-04
146,194,2025-01-20T18:33:04,pending,España,Mayen,Mark-Bachmann-Gasse 9948,,
147,303,2026-05-24T14:15:47,delivered,España,Lichtenfels,"Strada Carlo, 94",2026-05-27,2026-05-27
148,507,2025-12-26T08:42:50,shipped,Portugal,Delitzsch,chemin de Bonneau,2025-12-28,
149,512,2026-04-04T08:46:39,delivered,Portugal,Vedegheto,Benthinplatz 840,2026-04-07,2026-04-11
150,13,2025-02-03T19:14:03,delivered,Francia,East Eric,"12, rue Alphonse Raymond",2025-02-05,2025-02-08
151,583,2025-03-05T14:05:03,delivered,España,Legros-sur-Mer,"796, chemin de Munoz",2025-03-07,2025-03-10
152,483,2024-02-18T06:17:25,confirmed,España,Malchin,Marek-Reuter-Ring 62,,
153,18,2026-06-25T02:39:27,delivered,Países Bajos,North Kathleen,"41, chemin de Wagner",2026-06-28,2026-06-28
154,221,2024-07-01T09:32:45,delivered,España,Petosino,"807, boulevard Bernadette François",2024-07-02,2024-07-04
155,519,2025-01-31T14:29:23,delivered,España,New Lucyside,Vial de Bernardo Pablo 5 Puerta 4,2025-02-02,2025-02-08
156,426,2026-06-23T18:14:33,delivered,España,Las Palmas,Flat 74 Butcher Port,2026-06-25,2026-07-01
157,550,2025-10-13T03:00:03,delivered,Italia,Cannizzaro,Flat 9 Sarah Radial,2025-10-16,2025-10-20
158,86,2025-08-05T10:06:08,shipped,Alemania,Salamanca,Glorieta Jose Ramón Escobar 80 Puerta 1,2025-08-07,
159,209,2025-08-03T18:36:57,delivered,España,Brilon,"76, avenue de Dos Santos",2025-08-04,2025-08-10
160,68,2025-05-11T14:13:33,returned,Portugal,Bruchsal,Imelda-Losekann-Ring 51-72,2025-05-13,2025-05-19
161,60,2024-12-14T08:41:18,delivered,Portugal,West Eileen,Via de Azucena Jiménez 1 Puerta 0,2024-12-15,2024-12-17
162,119,2025-04-30T15:49:08,pending,España,Eichstätt,Alameda Rodrigo Medina 6,,
163,57,2026-03-15T22:17:34,cancelled,Portugal,Cantabria,"Stretto Gian, 31 Piano 2",,
164,180,2025-10-10T23:57:32,cancelled,Portugal,Vestreno,rue de Tanguy,,
165,141,2025-11-04T00:27:40,delivered,Portugal,Girona,Camino Aura Diego 8 Apt. 92,2025-11-07,2025-11-07
166,356,2024-09-06T18:04:25,returned,Italia,Cataratti,"267, boulevard de François",2024-09-09,2024-09-13
167,171,2024-12-26T09:26:20,delivered,Francia,Kehl,36 Sarah Circle,2024-12-28,2024-12-30
